food_id,food_type,food_name_th,food_name_en,food_group,food_subgroup,energy,water,protein,fat,carbohydrate,fibre,ash,calcium,phosphorus,magnesium,sodium,potassium,iron,copper,zinc,iodine,selenium,betacarotene,retinol,vitamin_A,thiamin,riboflavin,niacin,vitamin_C,vitamin_E,folate,cobalamin,sugar,cholesterol,sfa,sfa_4_0,sfa_6_0,sfa_8_0,sfa_10_0,sfa_12_0,sfa_14_0,sfa_16_0,sfa_18_0,mufa,mufa_16_1,mufa_18_1,mufa_20_1,mufa_22_1,pufa,pufa_18_2,pufa_18_3,pufa_18_4,pufa_20_4,pufa_20_5,pufa_22_5,pufa_22_6,asparticacid,threonine,serine,glutamic_acid,proline,glycine,alanine,cystine,valine,methionine,isoleucine,leucine,tryrosine,phenylalanine,histidine,lysine,arginine,total_amino_acid,catechin,epicatechin,gallic,energy_fat,fat_all,fat_saturated
11191,foundation,แกงหอยขม,"Curry, river snail",อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารประจำภาคอีสาน,44,86.4,5.41,0.26,5.14,,2.84,401,60,401,519,65,11.40,1.69,2.64,26.07,,365,0.00,30,0.05,0.14,2.30,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11195,foundation,ขนมจีนน้ำยาป่า (Round rice noodles with fish curry (without coconut milk) ),Round rice noodles with fish curry (without coconut milk,อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารประจำภาคอีสาน,46,87.4,2.20,0.24,8.90,,1.29,31,31,14,374,99,0.54,0.11,0.42,16.08,,38,0.00,3,,0.06,1.25,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11194,foundation,ขนมจีนน้ำนัวปลาร้า (),,อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารประจำภาคอีสาน,87,77.1,1.77,0.74,18.37,,2.00,23,,11,747,73,,,,31.36,,0,0.00,0,0.02,0.04,0.89,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11197,foundation,ซุปกะทิหน่อไม้,"Bamboo shoot with coconut milk, spicy salad",อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารประจำภาคอีสาน,34,91.1,1.65,1.31,4.12,,1.80,,,,,,,,,12.44,,22,0.00,1,0.01,0.09,1.07,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11196,foundation,ซุบหน่อไม้,"Bamboo shoot, spicy salad",อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารประจำภาคอีสาน,26,92.3,1.64,0.68,3.40,,2.00,,,,,,,,,15.36,,4,0.00,tr,0.01,0.03,0.54,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11198,foundation,ซุปมะเขือ/ยำมะเขือเปราะ,"Eggplant, spicy salad",อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารประจำภาคอีสาน,40,88.8,2.64,0.70,5.81,,2.10,25,,32,589,295,,,,9.31,,475,0.00,39,0.06,0.11,1.37,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11200,foundation,ตำมะเขือพวง,"Solanum, spicy salad",อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารประจำภาคอีสาน,94,70.9,8.32,2.23,6.50,7.3,4.70,81,147,26,1106,392,1.73,0.39,0.88,55.35,,138,0.00,11,0.12,0.20,1.14,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11201,foundation,"ลาบเนื้อ, รวมผักสด",Spicy minced beef salad with vegetable,อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารประจำภาคอีสาน,112,73.9,12.40,4.00,5.96,1.4,2.32,44,112,32,650,276,2.41,0.34,2.19,14.88,,177,63.80,78,0.09,0.17,2.13,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11199,foundation,"ซุปมะเขือยาว (Eggplant (brinjal), spicy salad)",Eggplant (brinjal,อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารประจำภาคอีสาน,59,81.4,3.34,0.41,10.59,,4.30,,,,,,,,,14.53,,96,0.00,8,0.10,0.12,10.70,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11202,foundation,"ลาบเลือด, อิสาน",Spicy beef and ox-blood salad,อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารประจำภาคอีสาน,99,73.9,15.70,1.20,6.40,-1.1,2.80,9,141,,,,1.80,,,,,149,364.00,389,0.12,1.36,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11203,foundation,"ส้มตำ, ปลาร้า","Papaya, fermented fish, salad",อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารประจำภาคอีสาน,36,87.9,2.15,0.64,4.11,2.8,2.41,73,29,22,716,197,1.76,0.19,0.42,16.66,,65,0.00,5,0.06,0.05,0.94,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11204,foundation,"ส้มตำ, อิสาน","Papaya, salad",อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารประจำภาคอีสาน,27,90.4,1.80,0.30,4.50,-0.9,3.00,94,44,,,,0.00,,,,,49,0.00,8,0.01,0.05,0.70,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11206,foundation,ห่อหมกไข่ปลา,"Fish roe with curry, steamed",อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารประจำภาคอีสาน,230,67.9,13.26,19.69,0.00,,3.40,,,,,,,,,67.38,,43,65.50,69,0.03,0.05,2.66,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11207,foundation,"กาน่าฉ่าย (Vegetarian, check of mustard (ghana chai))","Vegetarian, check of mustard (ghana chai",อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารเจ,249,64.4,1.69,23.74,7.15,,3.00,23,tr,13,1041,33,1.57,,,4.85,,,,,0.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11205,foundation,"ไส้กรอก, อิสาน","Sausage, northeastern style",อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารประจำภาคอีสาน,397,36.3,17.30,30.50,13.50,-0.7,2.40,70,124,,,,0.00,,,,,0,0.00,0,0.08,0.45,2.60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11209,foundation,"เกี้ยนทอด, อาหารเจ","Vegetarian, fried wontons",อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารเจ,197,57.5,3.30,6.60,31.10,-0.6,1.50,352,49,,,0,,,,,,72,,6,0.43,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11208,foundation,กุ้งเจ,"Vegetarian, shrimp",อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารเจ,71,79.8,0.07,0.10,17.64,,2.38,45,8,1,506,15,0.16,,,13.54,,0,0.00,0,0.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11210,foundation,"แกงส้มผักรวม, อาหารเจ","Vegetarian, sour soup mixed vegetables",อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารเจ,33,90.8,1.10,0.40,6.30,-0.6,1.40,17,20,,,1,,,,,,108,0.00,9,0.03,0.20,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11212,foundation,"ข้าวกล้องราดลาบเห็ด, อาหารเจ",Brown rice topped with spicy minced mushroom salad,อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารเจ,158,64.9,5.89,4.72,23.10,,1.39,8,118,31,234,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11211,foundation,"แกงอ่อมมะระใส่เห็ด, อาหารเจ","Vegetarian, gaeng om ma ra with mushroom",อาหารปรุงสำเร็จ : อาหารจานเดียว กับข้าว อาหารประจำภาค อาหารเจ,อาหารเจ,49,88,0.90,2.00,6.90,,2.20,3,27,,,1,,,,,,30,0.00,3,0.11,0.70,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
